ID Imagem,creation_time,Texto Post,Alvo do Humor,Tipos de Humor,Enquadramentos Antigênero,Comunidades de Sentido do Meme,surface.name,Objeto do Meme,Raça,Descrição da Página,URL da Página,Produtor do meme,Nome da Página,RedPill (Página),statistics.angry_count,statistics.care_count,statistics.comment_count,statistics.haha_count,statistics.like_count,statistics.love_count,statistics.reaction_count,statistics.sad_count,statistics.share_count,statistics.views
502938122238665.png,2015-06-28T15:35:18-07:00,"Acesse : mundodaseducao.com
Me siga no twitter: @pedro_morpheus
#Morpheus",Ideia/Grupo,Agressivo,"""Feminosta""",Antifeminista,Esta é uma Feminista,Mulher,Não,Esta é uma página de humor e uma sátira ao feminismo.,https://www.facebook.com/estaeumafeminista,Não,Esta é uma Feminista,Não,0,0,13,0,312,0,312,0,34,
630966242829278.jpg,2015-07-24T13:20:30-07:00,"22.597 leitores na página Mulheres contra o feminismo
Obrigada a todos! ;)
Vamos fazer esse número crescer. Curtam nossas páginas parceiras também:

Mulheres Inteligentes
Damas da verdade
<redacted_mention>",Ideia/Grupo,Agressivo,"""Feminosta""",Antifeminista,Mulheres contra o feminismo,Mulher,Não,Mulheres e Homens contra o feminismo,https://www.facebook.com/MulheresContraoFeminismo,Mulheres Inteligentes,Mulheres contra o feminismo,Não,0,0,21,0,104,0,104,0,12,
1850412455696841.jpg,2015-10-14T03:33:10-07:00,"Uma grande mulher falando sobre um ""grupo de mulheres"" que não conseguem ser grandes.
#Gv",Ideia/Grupo,Agressivo,"""Feminosta""",Antifeminista,Desquebrando o Tabu - Original,Mulher,Não,Página de Direita-Conservadora. Única página reserva da Desquebrando o Tabu oficial.,https://www.facebook.com/Desquebrandootabu2,Não,Desquebrando o Tabu - Original,Não,0,0,0,0,71,0,71,0,37,
604074092121613.jpg,2016-05-31T06:17:28-07:00,Porra capeta .  Põe um cara para vigiar o portão . 😂😂😂,Ideia/Grupo,Agressivo,"""Feminosta""",Antifeminista,Anti Feminismo,Mulher,Sim,"Não preciso do feminismo, pois os problemas dos homens são tão importantes quanto os meus! By MandyM.",https://www.facebook.com/antifeminismo2020,Patotinha da Direita,Anti Feminismo,Não,0,0,23,36,136,0,174,0,52,
1138605051231193.jpg,2019-04-18T11:44:39-07:00,Nosso Instagram @QuebrandoCatraca,Ideia/Grupo,Agressivo,"""Feminosta""",Antifeminista,Quebrando a Catraca,Mulher,Não,Acesse nosso site: Quebrandoacatraca.com.br. Redes Sociais @TaylorSports43,https://www.facebook.com/QuebrandoCatraca,Não,Quebrando a Catraca,Não,1,0,2,68,111,0,193,13,70,3512
1074203717781110.jpg,2019-06-29T17:08:33-07:00,"Mais outra da série: aperte o ❌ com toda a força!!!

Vegetariana e feminista??? 🤔🤔🤔",Ideia/Grupo,Agressivo,"""Feminosta""",Antifeminista,Capivaras Modernetes,Mulher,Não,Página de humor baseada nos vídeos do vlogueiro Marquinhos Breu no YouTube.,https://www.facebook.com/capivaras.modernetes,Não,Capivaras Modernetes,Não,1,0,22,118,55,0,176,1,4,14143
602436268839484.jpg,2020-09-04T12:32:47-07:00,"🌹Não preciso do feminismo porque os problemas dos homens são tão importante quanto os meus!🌹

E se fazer de vítima não te dá mais poder😎
#AQM",Ideia/Grupo,Agressivo,"""Feminosta""",Antifeminista,Anti Feminismo,Mulher,Não,"Não preciso do feminismo, pois os problemas dos homens são tão importantes quanto os meus! By MandyM.",https://www.facebook.com/antifeminismo2020,Fechado com Bolsonaro,Anti Feminismo,Não,0,0,5,19,54,19,94,0,18,5172
1301898567811571.jpg,2020-09-19T09:52:16-07:00,"Nunca Tanko esse tipo de post que encontro na internet.

Nunca passa pela cabecinha delas que, como Esther villar já dizia, elas simplesmente não se importam com essas coisas.

#Xeridan",NA,NA,"""Feminosta""",Antifeminista,Metendo a Real,Mulher,Não,"Motivação, valores como honra e caráter, alertas sobre as armadilhas femininas e muito mais. Puxe uma cadeira e sinta-se em casa, guerreiro!",https://www.facebook.com/blogmetendoareal,Não,Metendo a Real,Não,0,0,24,62,87,0,149,0,9,8002
614212747753997.jpg,2021-06-24T06:22:47-07:00,"Para as feministas que afirmam que é tabu pra mulher falar de sexo e a sociedade não aceita: isso tudo seria amplamente aceito saindo da boca de um homem ou ele seria cancelado feito um tarado, ""machista"" e objetificador propulsor da masculinidade tóxica?",NA,NA,"""Feminosta""",Antifeminista,O HOMEM DA CASA,Mulher,Não,"Essa página visa promover os valores masculinos tradicionais em meio a uma sociedade ""mimizenta pol",https://www.facebook.com/ohomemdacasa2,Não,O HOMEM DA CASA,Não,5,0,28,0,33,0,44,2,4,2328
890927049868707.jpg,2021-10-12T16:43:09-07:00,"As mulheres, um dia, se arrependerão de terem dado ouvidos ao feminismo?

Temos visto adolescentes grávidas de traficantes, meninas fazendo vídeos sexuais no nlyfans em troca de dinheiro, a mulher transformada num objeto de prazer para o homem e se o pai tenta impedir, ele é taxado ""macho tóxico"". Mas, o importante é acabar com a autoridade masculina (patriarcado) e dar as mulheres a dita ""liberdade sexual"".

Temos visto mulheres estressadas e cansadas por terem de dar conta do serviço doméstico, trabalhar fora e cuidar das crianças, muitas vezes sem o pai presente. Mas, o importante foi a mulher ter ganhado o ""direito"" de trabalhar fora e a banalização do divórcio.

O feminismo disse que a mulher seria emancipada, que seria independente, mas, cada vez mais as mulheres recebem auxílio estatal, até o absorvente delas será pago pelo estado. 

Disse que as mulheres seriam empoderadas, lhes iludiu com leis como a da ""violência psicológica"", onde a mulher tem o ""poder"" de colocar na cadeia qualquer homem que fale algo que lhe desagrada. Esse ""poder"" é uma ilusão, pois ele só funciona enquanto tiver um policial para prender. Ou seja, elas não são a fonte desse poder.

O feminismo ilude e engana as mulheres de tantas maneiras! Um dia as mulheres se arrependerão de ter dado ouvidos ao feminismo.",NA,NA,"""Feminosta""",Antifeminista,O HOMEM DA CASA,Mulher,Não,"Essa página visa promover os valores masculinos tradicionais em meio a uma sociedade ""mimizenta pol",https://www.facebook.com/ohomemdacasa2,Não,O HOMEM DA CASA,Não,0,0,51,4,195,13,215,2,69,7814
